,Unnamed: 0,station_nm,dec_lat_va,dec_long_va,state
33,172308,"RESTAURADA P8A WELL, PONCE, PR",17.99499405,-66.5943946,Ponce
34,182473,"SANSON 4 WELL, SANTA ISABEL, PR",17.99744444,-66.39391667,Santa Isabel
35,182957,"PIEZOMETER POZO HONDO HW 15, GUAYAMA, PR",17.99663203,-66.1746111,Guayama
36,183911,"PIEZOMETER AGUIRRE HW 13, SALINAS, PR",17.99718738,-66.209056,Salinas
37,189175,"PIEZOMETER AGUIRRE HW 4, SALINAS, PR",17.99802067,-66.214056,Salinas
38,190409,"PIEZOMETER AGUIRRE HW 3, GUAYAMA, PR",17.99829845,-66.205167,Guayama
39,197638,"PIEZOMETER AGUIRRE HW 1, SALINAS, PR",17.99857619,-66.2223895,Salinas
40,202902,"PIEZOMETER AGUIRRE HW 7, SALINAS, PR",17.99968728,-66.2098893,Salinas
41,204141,"PIEZOMETER AGUIRRE HW 11, SALINAS, PR",18.00135387,-66.2148894,Salinas
42,206346,"PIEZOMETER AGUIRRE HW 2, SALINAS, PR",18.00274269,-66.2221117,Salinas
43,207625,"CAB 1 WELL, JUANA DIAZ, PR",18.0033813,-66.437004,Juana Díaz
44,217691,"PIEZOMETER FA-1, JUANA DIAZ, PR",18.01135309,-66.5057277,Juana Díaz
45,222310,"MER 3 WELL, GUAYANILLA, PR",18.01288173,-66.7860919,Guayanilla
46,227465,"PIEZOMETER JAC-6, JUANA DIAZ, PR",18.01385325,-66.5198943,Juana Díaz
47,240671,"PIEZOMETER RM 10, SALINAS, PR",18.01579767,-66.25600109,Salinas
48,245611,"ARENAS 1 WELL, GUANICA, PR",18.02032529,-66.9335098,Guánica
49,249339,"VIV COLONIA AMISTAD WELL, LAJAS, PR",18.02385216,-67.056567,Lajas
50,264983,"PPGIND 4 WELL, YAUCO, PR",18.02413123,-66.8415647,Yauco
51,272676,"COLONES WELL, PONCE, PR",18.02529764,-66.5429499,Ponce
52,273949,"ARENAS OBSERVATION WELL, SABANA GRANDE, PR",18.02588075,-66.9067597,Sabana Grande
53,277648,"MON WEST WELL, PONCE, PR",18.0261032,-66.5460888,Ponce
54,277815,"PIEZOMETER JAC-1, JUANA DIAZ, PR",18.0294081,-66.5073944,Juana Díaz
55,278239,"LVE WELL, PENUELAS, PR",18.03024198,-66.72739677,Peñuelas
56,288134,"PIEZOMETER RM 5, SALINAS, PR",18.03301922,-66.23155637,Salinas
57,293118,"PIEZOMETER YABUCOA USGS BRACKISH, YABUCOA, PR",18.064131,-65.8432173,Yabucoa
58,294923,"YABUCOA 7 WELL, YABUCOA, PR",18.06885277,-65.8604398,Yabucoa
59,302613,"MONA AIRPORT WELL, MAYAGUEZ, PR",18.07690056,-67.93268639,Mayagüez
60,303083,"CABO ROJO P1 WELL, CABO ROJO, PR",18.09301509,-67.1440681,Cabo Rojo
61,313442,"PIEZOMETER CABO ROJO 10, CABO ROJO, PR",18.09440405,-67.12490139,Cabo Rojo
62,314009,"PIEZOMETER CABO ROJO 8, CABO ROJO, PR",18.0944039,-67.1462904,Cabo Rojo
63,314567,"PIEZOMETER CABO ROJO 5, CABO ROJO, PR",18.09718159,-67.1415681,Cabo Rojo
64,315099,"VIEQUES A1 WELL, VIEQUES, PR",18.09824228,-65.4674921,Vieques
65,319221,"PIEZOMETER CABO ROJO 7, CABO ROJO, PR",18.0991259,-67.1471237,Cabo Rojo
66,319821,"VIEQUES P2B WELL, VIEQUES, PR",18.10331153,-65.4598143,Vieques
67,323664,"PIEZOMETER CABO ROJO 1, CABO ROJO, PR",18.1055146,-67.1346237,Cabo Rojo
68,324227,"PIEZOMETER CABO ROJO 2B, CABO ROJO, PR",18.10579239,-67.1324015,Cabo Rojo
69,325419,"PIEZOMETER CABO ROJO 9B, CABO ROJO, PR",18.1057923,-67.1449016,Cabo Rojo
70,327736,"PIEZOMETER CABO ROJO 3, CABO ROJO, PR",18.10995886,-67.1340682,Cabo Rojo
71,328301,"PIEZOMETER CABO ROJO 4, CABO ROJO, PR",18.11190327,-67.1265682,Cabo Rojo
72,328874,"RIO HUMACAO WELL, HUMACAO, PR",18.1452385,-65.8265513,Humacao
73,329129,"SQB 3 WELL, HUMACAO, PR",18.1502386,-65.7968288,Humacao
74,329742,"PIEZOMETER CA-1, NAGUABO, PR",18.20273623,-65.75793978,Naguabo
75,344852,"CIND 4 WELL, MAYAGUEZ, PR",18.20689896,-67.1432351,Mayagüez
76,346712,"CE-RUM2 OBSERVATION WELL, MAYAGUEZ CAMPUS, PR",18.2146848,-67.138299,Mayagüez
77,351119,"PIEZOMETER CAGUAS-JUNCOS 11, CAGUAS, PR",18.21773369,-66.0398875,Caguas
78,353124,"PIEZOMETER CJ 9, CAGUAS, PR",18.22745543,-66.0371097,Caguas
79,353407,"PIEZOMETER CAGUAS-JUNCOS 19A, CAGUAS, PR",18.229122,-66.04766549,Caguas
80,365502,"PIEZOMETER CJ 20, CAGUAS, PR",18.24412129,-66.0257207,Caguas
81,367505,"PIEZOMETER CJ 3B, JUNCOS, PR",18.2516213,-65.9290527,Juncos
82,373221,"PIEZOMETER CAGUAS-JUNCOS 15, CAGUAS, PR",18.25884283,-66.02877639,Caguas
83,375233,"PIEZOMETER CAGUAS-JUNCOS 18, GURABO, PR",18.25912074,-65.9671087,Gurabo
84,376924,"PIEZOMETER USGS RF 4, FAJARDO, PR",18.30439895,-65.6715506,Fajardo
85,380009,"VIEO 9 WELL, ST. THOMAS, USVI",18.31939897,-64.87903077,St Thomas
86,380374,"PIEZOMETER RIO FAJARDO 12 FAJARDO, PR",18.3193983,-65.6404392,Fajardo
87,385105,"WP CALABASH B. VIEO-3 WELL, ST. JOHN, USVI",18.32856584,-64.7059695,St John
88,385630,"GUINEA GUT WELL, ST. JOHN, USVI",18.33023206,-64.7787492,St John
89,392569,"RINCON 4 WELL, RINCON, PR",18.33605896,-67.2421251,Rincón
90,402935,"SAN SEBASTIAN WELL, SAN SEBASTIAN, PR",18.3363388,-66.99184489,San Sebastián
91,405461,"LCKH VIEO-11 WELL, ST. THOMAS, USVI",18.34106632,-64.9168108,St Thomas
92,405790,"VIEO-1 WELL, ST. THOMAS, USVI",18.34134396,-64.91403278,St Thomas
93,406664,"GRADE SCHOOL 3 WELL, ST. THOMAS, USVI",18.34189968,-64.91708857,St Thomas
94,420950,"KIRWAN VIEO 6 WELL, ST. THOMAS, USVI",18.34190075,-64.96625807,St Thomas
95,425439,"SUSANNABERG DPW 3 WELL, ST. JOHN, USVI",18.34300952,-64.7654155,St John
96,428410,"WP CORAL BAY VIE0 4 WELL, ST. JOHN, USVI",18.34467629,-64.7173587,St John
97,438416,"WP CORAL BAY VIEO 2 WELL, ST. JOHN, USVI",18.35078718,-64.7162476,St John
98,438940,"NPS 6 WELL, ST. JOHN, USVI",18.35162037,-64.7531929,St John
99,441837,"HWY 42 DEAD END VIEO 10 WELL, ST. THOMAS, USVI",18.35662098,-64.9023651,St Thomas
100,442213,"PIEZOMETER RIO PITAHAYA 4 LUQUILLO, PR",18.3566184,-65.702662,Luquillo
101,444798,"FLORIDA 7 WELL, FLORIDA, PR",18.35767184,-66.5739226,Florida
102,450648,"BORDEAUX SHEILA WELL, ST. THOMAS, USVI",18.3585665,-65.01612079,St Thomas
103,451186,"PIEZOMETER USGS RS 2, LUQUILLO, PR",18.35856255,-65.72127339,Luquillo
104,453129,"FLORIDA 1 WELL, FLORIDA, PR",18.36653259,-66.56795028,Florida
105,457107,"PIEZOMETER RIO MAMEYES 2, RIO GRANDE, PR",18.37106145,-65.76599628,Río Grande
106,458920,"MW 11 WELL, LUQUILLO, PR",18.37142305,-65.7172734,Luquillo
107,461834,"PIEZOMETER QDA. MATA DE PLATANOS 1, LUQUILLO, PR",18.3741172,-65.7329403,Luquillo
108,463696,"PIEZOMETER USGS RE 1, RIO GRANDE, PR",18.38300478,-65.8204414,Río Grande
109,464334,"GMAR WELL, VEGA BAJA, PR",18.3816159,-66.4307261,Vega Baja
110,478522,"PAMPANO 2 WELL, VEGA ALTA, PR",18.3895879,-66.3155025,Vega Alta
111,484762,"PIEZOMETER USGS RE 2A, RIO GRANDE, PR",18.39355985,-65.818497,Río Grande
112,486850,"PIEZOMETER JARDIN BOTANICO I-13, SAN JUAN, PR",18.3949482,-66.0568325,San Juan
113,491699,"PIEZOMETER JARDIN BOTANICO III-19 SAN JUAN, PR",18.39967029,-66.06266588,San Juan
114,495844,"PIEZOMETER LAS AMERICAS I-10, SAN JUAN, PR",18.40272584,-66.07377708,San Juan
115,500574,"SALTOS 1 WELL, ISABELA, PR",18.4041411,-67.03045697,Isabela
116,508917,"CAMPO ALEGRE 4 WELL, HATILLO, PR",18.40658666,-66.7757868,Hatillo
117,510239,"PIEZOMETER SALUD MENTAL I-5 SAN JUAN, PR",18.40772578,-66.0904439,San Juan
118,515146,"HPAR WELL, SAN JUAN, PR",18.40800307,-66.05266578,San Juan
119,517027,"PIEZOMETER PARQUE FUENTES I-7, SAN JUAN, PR",18.40828102,-66.0676659,San Juan
120,519653,"BUCHANAN PARK WELL, BAYAMON, PR",18.40939232,-66.1401666,Bayamón
121,525798,"AGUADILLA CEMENT NORTH WELL, AGUADILLA, PR",18.40939049,-67.1540696,Aguadilla
122,534519,"PIEZOMETER MUNOZ MARIN 1A-8, SAN JUAN, PR",18.40994763,-66.0704437,San Juan
123,539457,"PIEZOMETER ALSACIA I-6, SAN JUAN, PR",18.41050322,-66.0757215,San Juan
124,544301,"PIEZOMETER FORT BUCHANAN 1, BAYAMON, PR",18.41216997,-66.1334999,Bayamón
125,546162,"PIEZOMETER HILL 2, MANATI, PR",18.41633657,-66.4668377,Manatí
126,550416,"PIEZOMETER LA ESPERANZA II-2, SAN JUAN, PR",18.41772512,-66.0812771,San Juan
127,555254,"PIEZOMETER CAMPO RICO 1, CAROLINA, PR",18.4188358,-65.99433208,Carolina
128,569218,"PONDEROSA 1 WELL, VEGA ALTA, PR",18.41883659,-66.32739149,Vega Alta
129,583487,"PIEZOMETER SANTA ROSA 2 DORADO, PR",18.42189193,-66.2801686,Dorado
130,586316,"CAMPANILLA NAVY WELL, TOA BAJA, PR",18.4224751,-66.23166779,Toa Baja
131,600554,"PIEZOMETER BLDG 652 GUAYNABO, PR",18.42328053,-66.1161996,Guaynabo
132,610589,"CRUCE DAVILA NC-5 WELL, BARCELONETA, PR",18.4263357,-66.5706448,Barceloneta
133,612190,"COTO SUR 5 WELL, MANATI, PR",18.42758605,-66.45297638,Manatí
134,614075,"PIEZOMETER MAGUAYO 2 DORADO, PR",18.42808608,-66.2787519,Dorado
135,624806,"COTO SUR 7 WELL, MANATI, PR",18.42853045,-66.44828187,Manatí
136,626696,"USGS 166 OBSERVATION WELL, MANATI, PR",18.42808602,-66.51144948,Manatí
137,637086,"FLORIDA AFUERA 2 WELL, BARCELONETA, PR",18.43211336,-66.5593113,Barceloneta
138,639326,"PALO ALTO 2 WELL, VEGA BAJA, PR",18.4352246,-66.437115,
139,641665,"ROSARIO 2 WELL, VEGA BAJA, PR",18.4333081,-66.39169779,Vega Baja
140,647898,"ENCANTADO WELL, ARECIBO, PR",18.43572409,-66.6111456,Arecibo
141,650128,"PIEZOMETER HIGUILLAR USGS 1, DORADO, PR",18.4368912,-66.275724,Dorado
142,657488,"LEDERLE PRLA WELL, BARCELONETA, PR",18.43716863,-66.5754505,Barceloneta
143,659543,"TIBURONES WELL, BARCELONETA, PR",18.43872409,-66.5807839,Barceloneta
144,666033,"MALDONADO WELL, ISABELA, PR",18.43855624,-67.0435133,Isabela
145,666738,"PALOMA 3 WELL, HATILLO, PR",18.44169643,-66.7986759,Hatillo
146,672258,"SANTANA 1 WELL, ARECIBO, PR",18.4420017,-66.6477855,Arecibo
147,677631,"SABANA HOYOS 2 WELL, VEGA ALTA, PR",18.44427988,-66.33816939,Vega Alta
148,691531,"CBGAR WELL, QUEBRADILLAS, PR",18.44439,-66.9229558,Quebradillas
149,700846,"PIEZOMETER 1 TOA BAJA, PR",18.4463352,-66.2512791,Toa Baja
150,706511,"PIEZOMETER MONSERRATE 2, TOA BAJA, PR",18.4466129,-66.23961227,Toa Baja
151,712763,"PIEZOMETER SAN ANTONIO USGS 1, DORADO, PR",18.4471685,-66.2737795,Dorado
152,718712,"CANTITO LA LUISA WELL, MANATI, PR",18.45055733,-66.51017168,Manatí
153,724452,"PIEZOMETER TORTUGUERO 3, VEGA BAJA, PR",18.451335,-66.4210037,Vega Baja
154,728957,"ZANJA 4 WELL, CAMUY, PR",18.45391776,-66.8534823,Camuy
155,730961,"GRIV WELL, ARECIBO, PR",18.45800107,-66.6188681,Arecibo
156,745207,"DORADO BEACH 7 WELL, DORADO, PR",18.4607791,-66.28516858,Dorado
157,748642,"BAR 1 WELL, ARECIBO, PR",18.46355659,-66.7626755,Arecibo
158,750556,"PLAZUELA 2 WELL, BARCELONETA, PR",18.46383439,-66.54850559,Barceloneta
159,756774,"DORADO AIRPORT WELL, DORADO, PR",18.4657789,-66.2926687,Dorado
160,759011,"VAMA WELL, CAMUY, PR",18.4802221,-66.8521217,Camuy
161,759514,"OTILIO WELL, ISABELA, PR",18.48827655,-67.05268,Isabela
162,760696,JB-84-38-902 (Duval County CRN),27.38642619,-98.267507,TX
163,761791,"COCOA H NEAR BITHLO, FL",28.48000249,-81.0267282,FL
164,764983,KP-79-21-706 (Goliad 2 - Deep),28.64805556,-97.4852778,TX
165,765665,KP-79-21-705 (Goliad 1),28.66083333,-97.4922222,TX
166,766454,ZL-67-57-102 (Kosciusko),29.1118611,-97.9665111,TX
167,766733,ZL-68-54-901 (Picosa Ranch),29.1383611,-98.2754444,TX
168,767346,TD-68-49-813 (Devine),29.16577778,-98.9394111,TX
169,770790,"USGS Well CE-44 at Ocala, FL",29.18636556,-82.099813,FL
170,774947,YP-69-51-606 (E. Uvalde 3),29.1935729,-99.6328298,TX
171,780063,ZL-68-48-502 (Wilson 1),29.29885,-98.0585306,TX
172,780694,TD-69-47-306,29.34606767,-99.138647,TX
173,782970,TD-68-41-301,29.3549569,-98.8800276,TX
174,785245,KH-65-40-707 (Galveston),29.39416667,-95.1102778,TX
175,787620,KH-64-33-920 (Texas City Extensometer),29.416325,-94.8950028,TX
176,788878,AY-68-37-522 (San Antonio Transect A-2),29.418289,-98.428071,TX
177,793081,TD-69-40-510,29.4267361,-99.0694083,TX
178,793851,AY-68-37-526 (San Antonio Transect D-1),29.43245515,-98.4355713,TX
179,798019,TD-69-38-601 (Seco Creek Well),29.43856519,-99.2833738,TX
180,807044,YP-69-35-602 (Frio Reference Well),29.44606596,-99.6647745,TX
181,809352,TD-69-40-209,29.4787361,-99.0671694,TX
182,810129,TD-68-33-213,29.49144167,-98.9382667,TX
183,817806,AY-68-36-136 (Leon Valley),29.49381389,-98.619075,TX
184,818712,AY-68-36-132 (Z DED),29.49527778,-98.5955556,TX
185,824981,TD-68-25-711,29.50711389,-98.9815556,TX
186,833004,KX-68-31-808 (Tri-County 4),29.5162169,-98.1849959,TX
187,837173,TD-69-31-708,29.5235972,-99.2324889,TX
188,838009,TD-69-32-703 (MED-1),29.53411716,-99.1101384,TX
189,846060,AY-68-27-610 (Parkwood Park),29.54777778,-98.6355556,TX
190,850203,AY-68-29-512 (McAllister Park 1),29.55138889,-98.4480556,TX
191,851090,LJ-65-32-401 (NASA Extensometer),29.5518611,-95.0960278,TX
192,851987,TD-69-31-406,29.55486944,-99.2347444,TX
193,852552,LJ-65-32-428 (Clear Lake Deep Extensometer),29.56341667,-95.1189444,TX
194,857654,LJ-65-32-625 (Seabrook Extensometer),29.56479444,-95.0214556,TX
195,858940,AY-68-27-609 (Western Oak),29.56805556,-98.6616667,TX
196,861407,KX-68-31-403 (Tri-County 2),29.5735009,-98.2299359,TX
197,866415,AY-68-28-211 (Shavano Park at Fawn Drive),29.58777778,-98.5486111,TX
198,870323,AY-68-29-103,29.5896717,-98.4880733,TX
199,872499,AY-68-29-112 (Donella),29.5997222,-98.48,TX
200,874650,KX-68-30-314 (Tri-County 1),29.60293056,-98.2575083,TX
201,879595,DX-68-30-208,29.61022714,-98.3194577,TX
202,881787,LOCAL NO.15 CROSS CITY,29.62550936,-83.10485209,FL
203,889454,AY-68-21-806 (Encino Rio),29.62944444,-98.4483333,TX
204,890444,AY-68-21-903 (TPC-Cibolo Canyon),29.64875556,-98.3967417,TX
205,892489,AY-68-21-902 (WR-3),29.6628611,-98.3851389,TX
206,893913,USAF D3-A,29.66632466,-85.354919,FL
207,903815,AY-68-19-643 (CS MW8),29.68138889,-98.6311111,TX
208,904352,AY-68-19-604,29.69827886,-98.6308554,TX
209,905042,DX-68-23-304 (NBU),29.71105766,-98.1375089,TX
210,907358,AY-68-21-222 (Country Place RW-2),29.71194444,-98.4455556,TX
211,908709,LJ-65-20-110,29.715,-95.5911111,TX
212,910557,LOCAL NO.943-453-1,29.7227125,-84.8876854,FL
213,919191,LOCAL NO.31,29.72437865,-84.9818546,FL
214,928007,JY-65-29-106 (Fort Bend Extensometer),29.72416667,-95.7477778,TX
215,930356,943244310  09S16E07  212 SITE 1 USGS,29.72523829,-82.7470638,FL
216,941048,LJ-65-21-226 (Southwest Extensometer),29.727,-95.4507778,TX
217,948760,LJ-65-21-230 (Southwest Piezometer No. 2),29.7275,-95.4513889,TX
218,956107,WA-69-18-307 (Leakey Monitor Well),29.73227778,-99.7576111,TX
219,957469,LOCAL NO.944-314-1,29.74967013,-83.2409683,FL
220,961937,LJ-65-16-930 (Baytown C-1 Extensometer),29.75784167,-95.03065,TX
221,964158,LOCAL NO.947-446-1,29.7857665,-84.7685162,FL
222,968469,LJ-65-12-725 (Addicks Piezometer No. 2),29.79083333,-95.5866667,TX
223,975749,LJ-65-12-726 (Addicks Extensometer),29.79069444,-95.5861389,TX
224,990808,LJ-65-14-738 (Northeast Piezometer No. 4),29.79138889,-95.3338889,TX
225,998155,LJ-65-14-746 (Northeast Extensometer),29.79088889,-95.3339722,TX
226,998893,30,29.81604216,-85.3021406,FL
227,1007508,LJ-65-14-409 (Lindale Park),29.8172222,-95.3697222,TX
228,1011107,WA-69-11-3XX (St. Jude Well),29.84526389,-99.6568,
229,1011931,FRANKLIN NO 10,29.8463203,-84.6618479,FL
230,1017530,DX-68-15-116,29.84855228,-98.2130668,TX
231,1017609,DX-68-15-115,29.84882998,-98.2280672,TX
232,1019505,AS-69-12-206 (Bandera County Edwards GW Well 1),29.8677972,-99.5671889,TX
233,1023893,SM-58,29.88742677,-91.5226127,LA
234,1024982,LR-67-01-826,29.88723333,-97.9492972,TX
235,1025712,LR-67-01-809 (Tipps),29.91216286,-97.9286162,TX
236,1029612,LJ-65-07-905 (Lake Houston Piezometer No. 2),29.91388889,-95.145,TX
237,1037057,LJ-65-07-909 (Lake Houston Extensometer),29.9132222,-95.1455278,TX
238,1037887,"ST. JAMES WELL NR LANARK, FLORIDA",29.91881787,-84.521846,FL
239,1039486,Or-42,29.9479816,-90.0336819,LA
240,1044675,FRANKLIN 41,29.95909397,-84.7185175,FL
241,1048989,LOCAL NO.958-312-1,29.96744584,-83.20263569,FL
242,1057613,RB-68-01-314,29.97215919,-98.8947557,TX
243,1059438,LR-67-02-104 (Kyle No. 2),29.98299439,-97.8719488,TX
244,1064554,RJ-56-63-922,30.00549089,-99.1330957,TX
245,1066015,I-93,30.0097222,-91.7438889,LA
246,1067149,LOCAL NO.001-459-1,30.03131305,-84.9907467,FL
247,1073630,JJ-55-64-503 (Lazy H Ranch),30.0497222,-100.0522222,TX
248,1075484,UJ-62-58-611 (E.I. DuPont Company),30.05632209,-93.757389,TX
249,1079080,FICO FARMS OBS. WELL(600) NR. OVERSTREET FL.,30.06075776,-85.344919,FL
250,1079347,LOCAL NO.35 BUCKEYE CELLULOSE CORP,30.0663255,-83.5137566,FL
251,1096982,LOCAL NO.004-258-334,30.06689344,-82.9804074,FL
252,1098884,LOCAL NO.36 BUCKEYE CELLULOSE CORP,30.0688253,-83.52847929,FL
253,1108328,WAKULLA 19,30.0946493,-84.2943407,FL
254,1112659,J W GASTON WELL,30.1085605,-82.93874,FL
255,1113600,WAKULLA HIGH SCH TEST WELL,30.10881473,-84.3760104,FL
256,1114073,"EXXON SUPPLY WELL NR WEWAHITCHKA,FL",30.11770039,-85.2676947,FL
257,1117356,0072221,30.12995834,-82.3826164,FL
258,1126406,LOCAL NO.008-317-1,30.13994189,-83.2995846,FL
259,1131066,TS-60-53-718 (Woodlands Piezometer No. 1-A),30.14,-95.4630556,TX
260,1136369,TS-60-55-710 (New Caney Piezometer No. 7-A),30.14694444,-95.2425,TX
261,1142630,LOCAL NO.2 ST. MARKS,30.154927,-84.2035045,FL
262,1152509,"WELL BAY 7 AT PANAMA CITY, FLORIDA",30.16853518,-85.6929846,FL
263,1162273,LOCAL NO.9 LAKE CITY,30.17550937,-82.6359564,FL
264,1178873,PORTER LAKE REC AREA,30.1765893,-84.6768528,
265,1183392,LOCAL NO.011-410-1,30.1990931,-84.1762817,FL
266,1187723,WEST PANAMA CITY BEACH,30.20297996,-85.8496558,FL
267,1191999, Cu- 851,30.2036111,-93.3213889,LA
268,1197180,TS-60-53-516 (Needham Piezometer No. 4-A),30.20777778,-95.4575,TX
269,1203417,YD-58-50-301 (Lovelady),30.21033889,-97.7815833,TX
270,1207529,"FANIN AIRPORT WELL AT PANAMA CITY,FLA.",30.2140897,-85.6910402,FL
271,1211806,JD-485A,30.21666667,-92.98,LA
272,1219658,ONF NO10 FLORIDAN WELL,30.21884227,-82.59706728,FL
273,1221834,Cu-769,30.22666667,-93.3083333,LA
274,1222960,Cu-771,30.2268724,-93.3084884,LA
275,1225703,YD-58-50-216,30.23243139,-97.7927835,TX
276,1226799,ONF NO9 FLORIDAN WELL,30.24384233,-82.546511,FL
277,1227615,LOCAL NO.014-511-1,30.24380834,-85.1968606,FL
278,1231942,TS-60-44-805 (Lake Creek Piezometer No. 3-B),30.25138889,-95.5769444,TX
279,1238551,LOCAL NO.015-535-113,30.26408789,-85.5993707,FL
280,1242653,SRWMD B-0004,30.276621,-82.3942858,FL
281,1243110,016-538-123,30.28047677,-85.6457612,FL
282,1249207,ONF NO7 FLORIDAN WELL,30.2841199,-82.4540095,FL
283,1249667,NEW HOPE SCHOOL WELL NR. WHITE SPRINGS FL-AK Black,30.3063385,-82.6606808,FL
284,1251070,Ac-326,30.30888889,-92.3966667,LA
285,1259160,ONF NO2 FLORIDAN WELL,30.32606093,-82.5845684,FL
286,1259254,ONF NO4 HAWTHORN WELL,30.3293954,-82.48928868,FL
287,1259523,STEPHEN FOSTER MEMORIAL WELL,30.3302251,-82.7681833,FL
288,1262912,TS-60-45-412 (City of Conroe Piezometer No. 1),30.33027778,-95.4836111,TX
289,1272717,ONF NO3 FLORIDAN WELL,30.34800529,-82.5231785,FL
290,1276999,059Q0403  JACKSON,30.3471443,-88.4975132,MS
291,1282806,SRWMD B-2,30.35439665,-82.3892865,
292,1283358,HILWARD MORGAN WELL NR. FACIL FL,30.35772375,-82.7992954,FL
293,1284954,"USGS T7,SR102,GULF BREEZE",30.35992157,-87.1624685,FL
294,1293266,LOCAL NO.022-356-1,30.36798229,-83.9373858,FL
295,1298025,LOCAL NO.13,30.37075488,-86.1143849,FL
296,1306232,"C.H.MCGEE,JR. POINT WASHINGTON",30.37269927,-86.1143849,FL
297,1307584,ONF NO1X FLORIDAN WELL,30.37883647,-82.6004027,FL
298,1312690,"B-25 ONF NO.6 FLORIDAN WELL NEAR TAYLOR,FL.",30.381064,-82.33011859,FL
299,1317462,USGS OBS.WELL 39 WRRNGTN,30.38575418,-87.276361,FL
300,1324379,USGS LS 1,30.38714488,-84.3201783,FL
301,1327520,USGS LS24,30.38881108,-84.3682356,FL
302,1328207,"C.W. ROBERTS WELL AT HOSFORD,FLA.",30.38936275,-84.7929693,FL
303,1332539,A C HOGAN WELL,30.3899445,-82.8262409,FL
304,1334785,USAF EGLIN A15 B12516,30.39186596,-86.8055136,FL
305,1335522,SUWANNEE SPGS WELL,30.3929988,-82.933743,FL
306,1336784,WAYSIDE PARK,30.3940889,-86.590508,FL
307,1340956,LOCAL NO.023-526-223A YOUNGSTOWN,30.39769545,-85.43631299,FL
308,1345413,047M0120  HARRISON,30.39880955,-88.900864,MS
309,1360591,"BRIDGETENDER WELL(WAL-25)NR POINT WASHINGTON,FLA",30.39936545,-86.16855289,FL
310,1365200,LOCAL NO 60A,30.40075386,-87.23469309,FL
311,1373373,047M0544  HARRISON,30.4054757,-88.9928119,MS
