,station_nm,dec_lat_va,dec_long_va
539457,"PIEZOMETER ALSACIA I-6, SAN JUAN, PR",18.41050322,-66.0757215
544301,"PIEZOMETER FORT BUCHANAN 1, BAYAMON, PR",18.41216997,-66.1334999
546162,"PIEZOMETER HILL 2, MANATI, PR",18.41633657,-66.4668377
550416,"PIEZOMETER LA ESPERANZA II-2, SAN JUAN, PR",18.41772512,-66.0812771
555254,"PIEZOMETER CAMPO RICO 1, CAROLINA, PR",18.4188358,-65.99433208
569218,"PONDEROSA 1 WELL, VEGA ALTA, PR",18.41883659,-66.32739149
583487,"PIEZOMETER SANTA ROSA 2 DORADO, PR",18.42189193,-66.2801686
586316,"CAMPANILLA NAVY WELL, TOA BAJA, PR",18.4224751,-66.23166779
600554,"PIEZOMETER BLDG 652 GUAYNABO, PR",18.42328053,-66.1161996
610589,"CRUCE DAVILA NC-5 WELL, BARCELONETA, PR",18.4263357,-66.5706448
612190,"COTO SUR 5 WELL, MANATI, PR",18.42758605,-66.45297638
614075,"PIEZOMETER MAGUAYO 2 DORADO, PR",18.42808608,-66.2787519
624806,"COTO SUR 7 WELL, MANATI, PR",18.42853045,-66.44828187
626696,"USGS 166 OBSERVATION WELL, MANATI, PR",18.42808602,-66.51144948
637086,"FLORIDA AFUERA 2 WELL, BARCELONETA, PR",18.43211336,-66.5593113
639326,"PALO ALTO 2 WELL, VEGA BAJA, PR",18.4352246,-66.437115
641665,"ROSARIO 2 WELL, VEGA BAJA, PR",18.4333081,-66.39169779
647898,"ENCANTADO WELL, ARECIBO, PR",18.43572409,-66.6111456
650128,"PIEZOMETER HIGUILLAR USGS 1, DORADO, PR",18.4368912,-66.275724
657488,"LEDERLE PRLA WELL, BARCELONETA, PR",18.43716863,-66.5754505
659543,"TIBURONES WELL, BARCELONETA, PR",18.43872409,-66.5807839
666033,"MALDONADO WELL, ISABELA, PR",18.43855624,-67.0435133
666738,"PALOMA 3 WELL, HATILLO, PR",18.44169643,-66.7986759
672258,"SANTANA 1 WELL, ARECIBO, PR",18.4420017,-66.6477855
677631,"SABANA HOYOS 2 WELL, VEGA ALTA, PR",18.44427988,-66.33816939
691531,"CBGAR WELL, QUEBRADILLAS, PR",18.44439,-66.9229558
700846,"PIEZOMETER 1 TOA BAJA, PR",18.4463352,-66.2512791
706511,"PIEZOMETER MONSERRATE 2, TOA BAJA, PR",18.4466129,-66.23961227
712763,"PIEZOMETER SAN ANTONIO USGS 1, DORADO, PR",18.4471685,-66.2737795
718712,"CANTITO LA LUISA WELL, MANATI, PR",18.45055733,-66.51017168
724452,"PIEZOMETER TORTUGUERO 3, VEGA BAJA, PR",18.451335,-66.4210037
728957,"ZANJA 4 WELL, CAMUY, PR",18.45391776,-66.8534823
730961,"GRIV WELL, ARECIBO, PR",18.45800107,-66.6188681
745207,"DORADO BEACH 7 WELL, DORADO, PR",18.4607791,-66.28516858
748642,"BAR 1 WELL, ARECIBO, PR",18.46355659,-66.7626755
750556,"PLAZUELA 2 WELL, BARCELONETA, PR",18.46383439,-66.54850559
756774,"DORADO AIRPORT WELL, DORADO, PR",18.4657789,-66.2926687
759011,"VAMA WELL, CAMUY, PR",18.4802221,-66.8521217
759514,"OTILIO WELL, ISABELA, PR",18.48827655,-67.05268
760696,JB-84-38-902 (Duval County CRN),27.38642619,-98.267507
761791,"COCOA H NEAR BITHLO, FL",28.48000249,-81.0267282
764983,KP-79-21-706 (Goliad 2 - Deep),28.64805556,-97.4852778
765665,KP-79-21-705 (Goliad 1),28.66083333,-97.4922222
766454,ZL-67-57-102 (Kosciusko),29.1118611,-97.9665111
766733,ZL-68-54-901 (Picosa Ranch),29.1383611,-98.2754444
767346,TD-68-49-813 (Devine),29.16577778,-98.9394111
770790,"USGS Well CE-44 at Ocala, FL",29.18636556,-82.099813
774947,YP-69-51-606 (E. Uvalde 3),29.1935729,-99.6328298
780063,ZL-68-48-502 (Wilson 1),29.29885,-98.0585306
780694,TD-69-47-306,29.34606767,-99.138647
782970,TD-68-41-301,29.3549569,-98.8800276
785245,KH-65-40-707 (Galveston),29.39416667,-95.1102778
787620,KH-64-33-920 (Texas City Extensometer),29.416325,-94.8950028
788878,AY-68-37-522 (San Antonio Transect A-2),29.418289,-98.428071
793081,TD-69-40-510,29.4267361,-99.0694083
793851,AY-68-37-526 (San Antonio Transect D-1),29.43245515,-98.4355713
798019,TD-69-38-601 (Seco Creek Well),29.43856519,-99.2833738
807044,YP-69-35-602 (Frio Reference Well),29.44606596,-99.6647745
809352,TD-69-40-209,29.4787361,-99.0671694
810129,TD-68-33-213,29.49144167,-98.9382667
817806,AY-68-36-136 (Leon Valley),29.49381389,-98.619075
818712,AY-68-36-132 (Z DED),29.49527778,-98.5955556
824981,TD-68-25-711,29.50711389,-98.9815556
833004,KX-68-31-808 (Tri-County 4),29.5162169,-98.1849959
837173,TD-69-31-708,29.5235972,-99.2324889
838009,TD-69-32-703 (MED-1),29.53411716,-99.1101384
846060,AY-68-27-610 (Parkwood Park),29.54777778,-98.6355556
850203,AY-68-29-512 (McAllister Park 1),29.55138889,-98.4480556
851090,LJ-65-32-401 (NASA Extensometer),29.5518611,-95.0960278
851987,TD-69-31-406,29.55486944,-99.2347444
852552,LJ-65-32-428 (Clear Lake Deep Extensometer),29.56341667,-95.1189444
857654,LJ-65-32-625 (Seabrook Extensometer),29.56479444,-95.0214556
858940,AY-68-27-609 (Western Oak),29.56805556,-98.6616667
861407,KX-68-31-403 (Tri-County 2),29.5735009,-98.2299359
866415,AY-68-28-211 (Shavano Park at Fawn Drive),29.58777778,-98.5486111
870323,AY-68-29-103,29.5896717,-98.4880733
872499,AY-68-29-112 (Donella),29.5997222,-98.48
874650,KX-68-30-314 (Tri-County 1),29.60293056,-98.2575083
879595,DX-68-30-208,29.61022714,-98.3194577
881787,LOCAL NO.15 CROSS CITY,29.62550936,-83.10485209
889454,AY-68-21-806 (Encino Rio),29.62944444,-98.4483333
890444,AY-68-21-903 (TPC-Cibolo Canyon),29.64875556,-98.3967417
892489,AY-68-21-902 (WR-3),29.6628611,-98.3851389
893913,USAF D3-A,29.66632466,-85.354919
903815,AY-68-19-643 (CS MW8),29.68138889,-98.6311111
904352,AY-68-19-604,29.69827886,-98.6308554
905042,DX-68-23-304 (NBU),29.71105766,-98.1375089
907358,AY-68-21-222 (Country Place RW-2),29.71194444,-98.4455556
908709,LJ-65-20-110,29.715,-95.5911111
910557,LOCAL NO.943-453-1,29.7227125,-84.8876854
919191,LOCAL NO.31,29.72437865,-84.9818546
928007,JY-65-29-106 (Fort Bend Extensometer),29.72416667,-95.7477778
930356,943244310  09S16E07  212 SITE 1 USGS,29.72523829,-82.7470638
941048,LJ-65-21-226 (Southwest Extensometer),29.727,-95.4507778
948760,LJ-65-21-230 (Southwest Piezometer No. 2),29.7275,-95.4513889
956107,WA-69-18-307 (Leakey Monitor Well),29.73227778,-99.7576111
957469,LOCAL NO.944-314-1,29.74967013,-83.2409683
961937,LJ-65-16-930 (Baytown C-1 Extensometer),29.75784167,-95.03065
964158,LOCAL NO.947-446-1,29.7857665,-84.7685162
968469,LJ-65-12-725 (Addicks Piezometer No. 2),29.79083333,-95.5866667
975749,LJ-65-12-726 (Addicks Extensometer),29.79069444,-95.5861389
990808,LJ-65-14-738 (Northeast Piezometer No. 4),29.79138889,-95.3338889
998155,LJ-65-14-746 (Northeast Extensometer),29.79088889,-95.3339722
998893,30,29.81604216,-85.3021406
1007508,LJ-65-14-409 (Lindale Park),29.8172222,-95.3697222
1011107,WA-69-11-3XX (St. Jude Well),29.84526389,-99.6568
1011931,FRANKLIN NO 10,29.8463203,-84.6618479
1017530,DX-68-15-116,29.84855228,-98.2130668
1017609,DX-68-15-115,29.84882998,-98.2280672
1019505,AS-69-12-206 (Bandera County Edwards GW Well 1),29.8677972,-99.5671889
1023893,SM-58,29.88742677,-91.5226127
1024982,LR-67-01-826,29.88723333,-97.9492972
1025712,LR-67-01-809 (Tipps),29.91216286,-97.9286162
1029612,LJ-65-07-905 (Lake Houston Piezometer No. 2),29.91388889,-95.145
1037057,LJ-65-07-909 (Lake Houston Extensometer),29.9132222,-95.1455278
1037887,"ST. JAMES WELL NR LANARK, FLORIDA",29.91881787,-84.521846
1039486,Or-42,29.9479816,-90.0336819
1044675,FRANKLIN 41,29.95909397,-84.7185175
1048989,LOCAL NO.958-312-1,29.96744584,-83.20263569
1057613,RB-68-01-314,29.97215919,-98.8947557
1059438,LR-67-02-104 (Kyle No. 2),29.98299439,-97.8719488
1064554,RJ-56-63-922,30.00549089,-99.1330957
1066015,I-93,30.0097222,-91.7438889
1067149,LOCAL NO.001-459-1,30.03131305,-84.9907467
1073630,JJ-55-64-503 (Lazy H Ranch),30.0497222,-100.0522222
1075484,UJ-62-58-611 (E.I. DuPont Company),30.05632209,-93.757389
1079080,FICO FARMS OBS. WELL(600) NR. OVERSTREET FL.,30.06075776,-85.344919
1079347,LOCAL NO.35 BUCKEYE CELLULOSE CORP,30.0663255,-83.5137566
1096982,LOCAL NO.004-258-334,30.06689344,-82.9804074
1098884,LOCAL NO.36 BUCKEYE CELLULOSE CORP,30.0688253,-83.52847929
1108328,WAKULLA 19,30.0946493,-84.2943407
1112659,J W GASTON WELL,30.1085605,-82.93874
1113600,WAKULLA HIGH SCH TEST WELL,30.10881473,-84.3760104
1114073,"EXXON SUPPLY WELL NR WEWAHITCHKA,FL",30.11770039,-85.2676947
1117356,0072221,30.12995834,-82.3826164
1126406,LOCAL NO.008-317-1,30.13994189,-83.2995846
1131066,TS-60-53-718 (Woodlands Piezometer No. 1-A),30.14,-95.4630556
1136369,TS-60-55-710 (New Caney Piezometer No. 7-A),30.14694444,-95.2425
1142630,LOCAL NO.2 ST. MARKS,30.154927,-84.2035045
1152509,"WELL BAY 7 AT PANAMA CITY, FLORIDA",30.16853518,-85.6929846
1162273,LOCAL NO.9 LAKE CITY,30.17550937,-82.6359564
1178873,PORTER LAKE REC AREA,30.1765893,-84.6768528
1183392,LOCAL NO.011-410-1,30.1990931,-84.1762817
1187723,WEST PANAMA CITY BEACH,30.20297996,-85.8496558
1191999, Cu- 851,30.2036111,-93.3213889
1197180,TS-60-53-516 (Needham Piezometer No. 4-A),30.20777778,-95.4575
1203417,YD-58-50-301 (Lovelady),30.21033889,-97.7815833
1207529,"FANIN AIRPORT WELL AT PANAMA CITY,FLA.",30.2140897,-85.6910402
1211806,JD-485A,30.21666667,-92.98
1219658,ONF NO10 FLORIDAN WELL,30.21884227,-82.59706728
1221834,Cu-769,30.22666667,-93.3083333
1222960,Cu-771,30.2268724,-93.3084884
1225703,YD-58-50-216,30.23243139,-97.7927835
1226799,ONF NO9 FLORIDAN WELL,30.24384233,-82.546511
1227615,LOCAL NO.014-511-1,30.24380834,-85.1968606
1231942,TS-60-44-805 (Lake Creek Piezometer No. 3-B),30.25138889,-95.5769444
1238551,LOCAL NO.015-535-113,30.26408789,-85.5993707
1242653,SRWMD B-0004,30.276621,-82.3942858
1243110,016-538-123,30.28047677,-85.6457612
1249207,ONF NO7 FLORIDAN WELL,30.2841199,-82.4540095
1249667,NEW HOPE SCHOOL WELL NR. WHITE SPRINGS FL-AK Black,30.3063385,-82.6606808
1251070,Ac-326,30.30888889,-92.3966667
1259160,ONF NO2 FLORIDAN WELL,30.32606093,-82.5845684
1259254,ONF NO4 HAWTHORN WELL,30.3293954,-82.48928868
1259523,STEPHEN FOSTER MEMORIAL WELL,30.3302251,-82.7681833
1262912,TS-60-45-412 (City of Conroe Piezometer No. 1),30.33027778,-95.4836111
1272717,ONF NO3 FLORIDAN WELL,30.34800529,-82.5231785
1276999,059Q0403  JACKSON,30.3471443,-88.4975132
1282806,SRWMD B-2,30.35439665,-82.3892865
1283358,HILWARD MORGAN WELL NR. FACIL FL,30.35772375,-82.7992954
1284954,"USGS T7,SR102,GULF BREEZE",30.35992157,-87.1624685
1293266,LOCAL NO.022-356-1,30.36798229,-83.9373858
1298025,LOCAL NO.13,30.37075488,-86.1143849
1306232,"C.H.MCGEE,JR. POINT WASHINGTON",30.37269927,-86.1143849
1307584,ONF NO1X FLORIDAN WELL,30.37883647,-82.6004027
1312690,"B-25 ONF NO.6 FLORIDAN WELL NEAR TAYLOR,FL.",30.381064,-82.33011859
1317462,USGS OBS.WELL 39 WRRNGTN,30.38575418,-87.276361
1324379,USGS LS 1,30.38714488,-84.3201783
1327520,USGS LS24,30.38881108,-84.3682356
1328207,"C.W. ROBERTS WELL AT HOSFORD,FLA.",30.38936275,-84.7929693
1332539,A C HOGAN WELL,30.3899445,-82.8262409
1334785,USAF EGLIN A15 B12516,30.39186596,-86.8055136
1335522,SUWANNEE SPGS WELL,30.3929988,-82.933743
1336784,WAYSIDE PARK,30.3940889,-86.590508
1340956,LOCAL NO.023-526-223A YOUNGSTOWN,30.39769545,-85.43631299
1345413,047M0120  HARRISON,30.39880955,-88.900864
1360591,"BRIDGETENDER WELL(WAL-25)NR POINT WASHINGTON,FLA",30.39936545,-86.16855289
1365200,LOCAL NO 60A,30.40075386,-87.23469309
1373373,047M0544  HARRISON,30.4054757,-88.9928119
1377895,"L.WOODHAM REDIMIX,NVARRE",30.40269893,-86.8763491
1382411,LOCAL NO.024-420-1,30.40297794,-84.3332345
1389492,Well ww 13 302416087505501 Baldwin Cnty AL,30.40477778,-87.8483611
1396111,"OLD CITY HALL WELL AT FORT WALTON BEACH, FL.",30.40519967,-86.611064
1396175,FT WALTON ELEM SCHOOL,30.40547746,-86.607175
1411817,"BILL COLLIER WELL AT FLOROSA,FL",30.40881014,-86.7341226
1413546,"USGS OBS.WELL 62,B.CHICO",30.40908698,-87.2546938
1438014, EB- 917,30.43741316,-91.1417728
1446091,"B-9 USGS WELL at Taylor, FL",30.4391194,-82.292896
1446455,"CITY OF BLOUNSTOWN WELL AT BLOUNSTOWN,FLA.",30.44352934,-85.0463064
1450807,EB-1293,30.44333333,-91.1438889
1460094,TS-60-35-503 (Bailey Grove Piezometer No. 2-A),30.4436111,-95.7080556
1469908,"WILSONS COWFORD FISH CAMP WELL NR EBRO, FLORIDA",30.4438076,-85.90910179
1471897,"USGS WELL AT BOG AT TALLAHASSEE,FLA.",30.44464467,-84.2832331
1476751,EB-1274,30.44519075,-91.142884
1484828,LOCAL NO.026-509-1,30.4471395,-85.1607531
1489180,ESCAMBIA 026-713-6,30.44741953,-87.224971
1493473,USGS OBS.WELL 026-713-5,30.4496417,-87.2174708
1502667,EB-806B,30.4507462,-91.1776072
1503897,VICTORY NO 2,30.4524193,-86.0991065
1504657,SELMA MADARA NEAR FREEPORT,30.4560306,-86.17049719
1506598,T AND W MOODY WELL,30.4565861,-86.1596636
1507438,USGS WRIGHT TEST WELL,30.46325369,-86.6388425
1511891,WELL 28 NR CLAY POINT,30.46630925,-86.6235644
1512374,PENS.AIRPRT.TERM.BLDG.,30.47519677,-87.194137
1515374,FFS WELL S OF JASPER,30.4766074,-82.91457749
1516312,LOCAL NO.17,30.4824324,-83.41681459
1523659,"POSTIL POINT WELL AT EGLIN, NR NICEVILLE, FL",30.48269825,-86.4810609
1532195,TOM HUGHES WELL,30.48353085,-86.3555019
1535653,R A MARSH WELL,30.4868635,-86.249388
1540261,MURPHY OIL CO WELL,30.49158509,-86.138274
1541851,EB-944,30.49241189,-91.1720517
1547580,"WELL WALTON 17 AT FREEPORT, FLORIDA",30.48714076,-86.1366073
1555540,TS-60-35-202 (Flower Follet),30.49883333,-95.7106111
1558575,"CITY OF TALLA. OLSON RD WELL AT TALLAHASSEE, FL.",30.5004779,-84.2296206
1562987,TALLAHASSEE RAY DIEHL 8-IN TH,30.5035334,-84.2312874
1565151,B-4204 EGLIN 27 FLD 4-2,30.5060306,-86.5877302
1572327,"WELL 422B NR GREENHEAD , FLORIDA",30.50713828,-85.5846508
1577089,EB-297,30.50741157,-91.1917745
1578159,D MARTIN WELL,30.51130704,-86.2004978
1578907,J M THOMPSON WELL,30.5149177,-86.1313294
1580224,USGS OBS.WELL 46-ENSLEY,30.51908448,-87.2730287
1599869,LEON 115,30.51992084,-84.3482364
1608626,YD-58-25-907,30.52575169,-97.8930688
1609722,"LK JACKSON DEEP WELL NR TALLAHASSEE,FLA.",30.52853163,-84.3626815
1626588,YU-60-28-802 (Sam Hou. Nat. Forest Piezo. No. 1),30.52816667,-95.5639167
1631481,USGS OBS.WELL 032-724-1,30.5357505,-87.404978
1636751,FRM NO 72 DP FST AM FRMS,30.53741643,-85.9677142
1639083,EB-1000,30.54768838,-91.1973303
1640314,ROGUE CREEK NO 2 WELL,30.5560289,-86.5621742
1640840,ROGUE CREEK NO 1 WELL,30.55852884,-86.561063
1641273,FRM NO 41 DP FST AM FRMS,30.563527,-86.0399382
1643294,FRM NO 98 FST AM FRMS,30.57158216,-85.95854729
1644835,TENMILE CREEK NO2 WELL,30.5726951,-86.51383979
1645320,FRM NO 2 DP FST AM FRMS,30.5740825,-86.1029955
1647723,TENMILE CREEK NO 1 WELL,30.5743617,-86.5146732
1648319,YU-60-27-4xx (NFSR208S),30.5753611,-95.7167306
1651241,AUX FIELD 2 B-2204,30.5782503,-86.4441158
